Maturity Date,rate
2024-01-15,0.12531825685138043
2024-02-15,0.12250192583634778
2024-03-15,0.11911453469820854
2024-04-15,0.11522881981931166
2024-05-15,0.1110793843760256
2024-06-15,0.1067917045011666
2024-07-15,0.10269113931968232
2024-08-15,0.09860864277236758
2024-09-15,0.09483350505534727
2024-10-15,0.09133181642519861
2024-11-15,0.08805622092131826
2024-12-15,0.08525627755684617
2025-01-15,0.08256426477969026
2025-02-15,0.08022012955500624
2025-03-15,0.07826008818631158
2025-04-15,0.07653808582493604
2025-05-15,0.07514920833793748
2025-06-15,0.07407868836290477
2025-07-15,0.07338041418695096
2025-08-15,0.07301600459506052
2025-09-15,0.07300018374149397
2025-10-15,0.07322586841936318
2025-11-15,0.07355176916132744
2025-12-15,0.07383025210157079
2026-01-15,0.0740630079022162
2026-02-15,0.07422651606738317
2026-03-15,0.07431861269973528
2026-04-15,0.07434843782761136
2026-05-15,0.0743066540495787
2026-06-15,0.07419082871765403
2026-07-15,0.0740060887546461
2026-08-15,0.07373837742292455
2026-09-15,0.07340752094648995
2026-10-15,0.07306796794940884
2026-11-15,0.07279241182883456
2026-12-15,0.07265814946692783
2027-01-15,0.07267121799741294
2027-02-15,0.07284177648617307
2027-03-15,0.07316567548788333
2027-04-15,0.0736579290027144
2027-05-15,0.0743226763133309
2027-06-15,0.07517540992951832
2027-07-15,0.07617660870637599
2027-08-15,0.07739814196994876
2027-09-15,0.07877345900499977
2027-10-15,0.08023916799292974
2027-11-15,0.08170813094047102
2027-12-15,0.08299784939697918
2028-01-15,0.08421221004680235
2028-02-15,0.08526409251157263
2028-03-15,0.08615132016838345
2028-04-15,0.08690636477076641
2028-05-15,0.08750217060423515
2028-06-15,0.08794353069535621
2028-07-15,0.08820693153773096
2028-08-15,0.08830483965137326
2028-09-15,0.08823485693832778
2028-10-15,0.08804491714275953
2028-11-15,0.08779444470565911
2028-12-15,0.08755499417312373
2029-01-15,0.08730490374337618
2029-02-15,0.08706490745753248
2029-03-15,0.08683902559847256
2029-04-15,0.08661180031183369
2029-05-15,0.08639161879477442
2029-06-15,0.08617518331726304
2029-07-15,0.0859731461804909
2029-08-15,0.08577235585419785
2029-09-15,0.08558296992267556
2029-10-15,0.08540221300743944
2029-11-15,0.08522745793274189
2029-12-15,0.08507237539747803
2030-01-15,0.0849162318487926
2030-02-15,0.08477242073451152
2030-03-15,0.08464332055683377
2030-04-15,0.08451983470889668
2030-05-15,0.08440738678669013
2030-06-15,0.08430450776955323
2030-07-15,0.0842163515540324
2030-08-15,0.0841374245984694
2030-09-15,0.08407212079715887
2030-10-15,0.0840197696584506
2030-11-15,0.08397992041744917
2030-12-15,0.08395507733210983
2031-01-15,0.08394270005373072
2031-02-15,0.08394488126082389
2031-03-15,0.0839615356725174
2031-04-15,0.08399321695081285
2031-05-15,0.08404080384236234
2031-06-15,0.08410554148621863
2031-07-15,0.08418448284199442
2031-08-15,0.0842833716226572
2031-09-15,0.08439817926481852
2031-10-15,0.08453129418489924
2031-11-15,0.08468541751686698
2031-12-15,0.08485017900521008
2032-01-15,0.08504319762276058
2032-02-15,0.08525319635404438
2032-03-15,0.08548040213040342
2032-04-15,0.08573191669564006
2032-05-15,0.08600558365211475
2032-06-15,0.08630650893739844
2032-07-15,0.08662036539981699
2032-08-15,0.08696872503679853
2032-09-15,0.08733576810858645
2032-10-15,0.08772820140615978
2032-11-15,0.0881531762614709
2032-12-15,0.08857497333256448
2033-01-15,0.08905343123782039
2033-02-15,0.08955204841388076
2033-03-15,0.09006250662153392
2033-04-15,0.0906182904347339
2033-05-15,0.09120486552998841
2033-06-15,0.09183275545916358
2033-07-15,0.09247194841746453
2033-08-15,0.0931660176542668
