fecha,indice
2020-01-15,0.03622318810868186
2020-02-15,0.037201174610866694
2020-03-15,0.03856035850053452
2020-04-15,0.03506546674443478
2020-05-15,0.028542570560331937
2020-06-15,0.02193590619725061
2020-07-15,0.0197146702041191
2020-08-15,0.018783785942076525
2020-09-15,0.019675912106603244
2020-10-15,0.017481932001267575
2020-11-15,0.014895745591514853
2020-12-15,0.01610441780845684
2021-01-15,0.015971682039013446
2021-02-15,0.015629901999253848
2021-03-15,0.015063910409332637
2021-04-15,0.01947599272469991
2021-05-15,0.032953732451628026
2021-06-15,0.03634399728802573
2021-07-15,0.039697111799671614
2021-08-15,0.04440664059994659
2021-09-15,0.045098149772598406
2021-10-15,0.04583242377661656
2021-11-15,0.05258588855183999
2021-12-15,0.056223851153557325
2022-01-15,0.06944187748184216
2022-02-15,0.08004770876292722
2022-03-15,0.08527511741064253
2022-04-15,0.09233675128714869
2022-05-15,0.09066428247774794
2022-06-15,0.09673488795131346
2022-07-15,0.10205393722639577
2022-08-15,0.10835546774069837
2022-09-15,0.11439512298794496
2022-10-15,0.12221405454464951
2022-11-15,0.12531099492741982
2022-12-15,0.1312211122911271
2023-01-15,0.1325165221610427
2023-02-15,0.13278798406921544
2023-03-15,0.13344076880119404
2023-04-15,0.12822634033233182
2023-05-15,0.12359964477072083
2023-06-15,0.12129270853287322
2023-07-15,0.11784603417174422
2023-08-15,0.11426982586148093
2023-09-15,0.10994018821171525
2023-10-15,0.10962690107164375
2023-11-15,0.10955105004263244
2023-12-15,0.10678492407420559
2024-01-15,0.10278349772828066
2024-02-15,0.09878544071285211
2024-03-15,0.09453820313790406
2024-04-15,0.09055117311303751
2024-05-15,0.08660187017933807
2024-06-15,0.08296484745321764
2024-07-15,0.07940829166048324
2024-08-15,0.07606252306054007
2024-09-15,0.0730283422265603
2024-10-15,0.07010504119615657
2024-11-15,0.06748189981792874
2024-12-15,0.06498424285923532
2025-01-15,0.06270289618942004
2025-02-15,0.06082801918647052
2025-03-15,0.05895751795749882
2025-04-15,0.05735236410479616
2025-05-15,0.05590517120532623
2025-06-15,0.05470886844531253
2025-07-15,0.05367652251522781
2025-08-15,0.052835288648006795
2025-09-15,0.052189828265172045
2025-10-15,0.05168571190491211
2025-11-15,0.051345368544554626
2025-12-15,0.051124021575827294
2026-01-15,0.05100692758330294
2026-02-15,0.05097024713006615
2026-03-15,0.05098651693499856
2026-04-15,0.05104232959263899
2026-05-15,0.05112570118298887
2026-06-15,0.05121810116547931
2026-07-15,0.05131361527180034
2026-08-15,0.05139890344295761
2026-09-15,0.05146941745201339
2026-10-15,0.05153220892451671
2026-11-15,0.051585314918386915
2026-12-15,0.051634227442224345
2027-01-15,0.05167885689763785
2027-02-15,0.051716833761818126
2027-03-15,0.051758060526140515
2027-04-15,0.051800538314847655
2027-05-15,0.05185091807837083
2027-06-15,0.0519092712002589
2027-07-15,0.051982647596882536
2027-08-15,0.05207224448573622
2027-09-15,0.052176943681816024
2027-10-15,0.05230599314901441
2027-11-15,0.05244763212031178
2027-12-15,0.052600504886740174
2028-01-15,0.052749355398249875
2028-02-15,0.052876164704960926
2028-03-15,0.05298973590317835
2028-04-15,0.05307051851126676
2028-05-15,0.053122531620286795
2028-06-15,0.053145942803249024
2028-07-15,0.05314588048605251
2028-08-15,0.05312453944585571
2028-09-15,0.05308661893237554
2028-10-15,0.053032473797022694
2028-11-15,0.05296817459101133
2028-12-15,0.052891952210630366
2029-01-15,0.052808183402489606
2029-02-15,0.052727922845579034
2029-03-15,0.052635933313934125
2029-04-15,0.05254554793934174
2029-05-15,0.052452199923383125
2029-06-15,0.05236312208671268
2029-07-15,0.05227356646118975
2029-08-15,0.05218768304043975
2029-09-15,0.052109090246012846
2029-10-15,0.05203354681626737
2029-11-15,0.05196682937713537
2029-12-15,0.05190538200548622
2030-01-15,0.05185240896687393
2030-02-15,0.051812529655251405
2030-03-15,0.051777915921515705
2030-04-15,0.05175463612341957
2030-05-15,0.051741821911926555
2030-06-15,0.05174092146279907
2030-07-15,0.05175249169795837
2030-08-15,0.05177736358813578
2030-09-15,0.05181424938960677
2030-10-15,0.05186352514672876
2030-11-15,0.051919388987586634
2030-12-15,0.0519829528253275
2031-01-15,0.05204991884079502
2031-02-15,0.05211129582003404
2031-03-15,0.05217817507071376
2031-04-15,0.052240895817089905
2031-05-15,0.052303391273959665
2031-06-15,0.052361415971202696
2031-07-15,0.05241862482782311
2031-08-15,0.05247283107462519
2031-09-15,0.052522240624659045
2031-10-15,0.05256996018337334
2031-11-15,0.05261273925776577
2031-12-15,0.0526532576727099
2032-01-15,0.05268986126327602
2032-02-15,0.052720414997279974
2032-03-15,0.05274898517411852
2032-04-15,0.052772470628262846
2032-05-15,0.05279229657369511
2032-06-15,0.05280706651219291
2032-07-15,0.052817937309465046
2032-08-15,0.052824805168902866
2032-09-15,0.052828073670660336
2032-10-15,0.052828391867738134
2032-11-15,0.052826136713913785
2032-12-15,0.05282155793117127
2033-01-15,0.05281508560453552
2033-02-15,0.052807929865097414
2033-03-15,0.05279890463926096
2033-04-15,0.05278948006229567
2033-05-15,0.05277950455058655
2033-06-15,0.05277006296166942
2033-07-15,0.05276097097873289
2033-08-15,0.052752987419794506
2033-09-15,0.05274659862461939
2033-10-15,0.052741509221365224
